name,calories,protein,totalCarbohydrates,sugars,dietaryFibers,totalFat,saturatedFat,monoUnsaturatedFat,polyUnsaturatedFat,cholestrol,vitaminA,vitaminC,vitaminD,calcium,iron,potassium,sodium
"Milk, human",70,1.03,6.89,6.89,0,4.38,2.009,1.658,0.497,14,61,5,0.1,32,0.03,51,17
"Milk, NFS",51,3.34,4.87,4.89,0,1.99,1.164,0.426,0.065,8,59,0.1,1.1,126,0,157,39
"Milk, whole",60,3.28,4.67,4.81,0,3.2,1.86,0.688,0.108,12,32,0,1.1,123,0,150,38
"Milk, low sodium, whole",61,3.1,4.46,4.46,0,3.46,2.154,0.999,0.128,14,29,0.9,1.3,101,0.05,253,3
"Milk, calcium fortified, whole",60,3.28,4.67,4.81,0,3.2,1.86,0.688,0.108,12,32,0,1.1,123,0,150,38
"Milk, calcium fortified, low fat (1%)",43,3.38,5.19,4.96,0,0.95,0.568,0.21,0.032,5,58,0,1.1,126,0,159,39
"Milk, calcium fortified, fat free (skim)",35,3.4,4.85,4.85,0,0.18,0.117,0.047,0.007,2,137,1,1.2,204,0.04,166,52
"Milk, reduced fat (2%)",50,3.35,4.91,4.89,0,1.9,1.11,0.4,0.058,8,83,0.2,1.1,126,0,159,39
"Milk, acidophilus, low fat (1%)",43,3.38,5.19,4.96,0,0.95,0.568,0.21,0.032,5,58,0,1.1,126,0,159,39
"Milk, acidophilus, reduced fat (2%)",50,3.35,4.91,4.89,0,1.9,1.11,0.4,0.058,8,83,0.2,1.1,126,0,159,39
"Milk, low fat (1%)",43,3.38,5.19,4.96,0,0.95,0.568,0.21,0.032,5,58,0,1.1,126,0,159,39
"Milk, fat free (skim)",34,3.43,4.89,5.05,0,0.08,0.049,0.017,0.006,3,64,0,1.1,132,0,167,41
"Milk, lactose free, low fat (1%)",43,3.38,5.19,4.96,0,0.95,0.568,0.21,0.032,5,58,0,1.1,126,0,159,39
"Milk, lactose free, fat free (skim)",34,3.43,4.89,5.05,0,0.08,0.049,0.017,0.006,3,64,0,1.1,132,0,167,41
"Milk, lactose free, reduced fat (2%)",50,3.35,4.91,4.89,0,1.9,1.11,0.4,0.058,8,83,0.2,1.1,126,0,159,39
"Milk, lactose free, whole",60,3.28,4.67,4.81,0,3.2,1.86,0.688,0.108,12,32,0,1.1,123,0,150,38
"Buttermilk, fat free (skim)",40,3.31,4.79,4.79,0,1.07,0.66,0.254,0.033,4,14,1,0,116,0.05,151,148
"Buttermilk, low fat (1%)",40,3.31,4.79,4.79,0,1.07,0.66,0.254,0.033,4,14,1,0,116,0.05,151,148
"Buttermilk, reduced fat (2%)",56,4.1,5.3,5.3,0,2,1.242,0.576,0.071,8,16,1.5,0,143,0.06,180,105
"Buttermilk, whole",62,3.21,4.88,4.88,0,3.31,1.899,0.827,0.198,11,47,0,1.3,115,0.03,135,105
"Kefir, NS as to fat content",52,3.59,7.48,6.91,0,0.96,0.596,0.286,0.047,5,174,0.8,1,124,0.04,159,38
"Goat's milk, whole",69,3.56,4.45,4.45,0,4.14,2.667,1.109,0.149,11,57,1.3,1.3,134,0.05,204,50
"Milk, dry, reconstituted, NS as to fat content",32,3.2,4.6,4.6,0,0.07,0.044,0.018,0.003,2,58,0.6,1,114,0.03,159,51
"Milk, dry, reconstituted, whole",76,4.01,5.86,5.86,0,4.08,2.554,1.209,0.101,15,39,1.3,1.6,142,0.07,203,60
"Milk, dry, reconstituted, low fat (1%)",40,3.17,4.55,4.55,0,1.01,0.633,0.291,0.038,4,65,0.6,1,113,0.03,157,51
"Milk, dry, reconstituted, fat free (skim)",32,3.2,4.6,4.6,0,0.07,0.044,0.018,0.003,2,1,0.6,0,114,0.03,159,51
"Milk, evaporated, NS as to fat content",134,6.81,10.04,10.04,0,7.56,4.591,2.335,0.245,29,65,1.9,2,261,0.19,303,106
"Milk, evaporated, whole",134,6.81,10.04,10.04,0,7.56,4.591,2.335,0.245,29,65,1.9,2,261,0.19,303,106
"Milk, evaporated, reduced fat (2%)",92,7.42,11.15,11.15,0,1.96,1.214,0.569,0.071,8,131,1.2,2,285,0.28,326,113
"Milk, evaporated, fat free (skim)",78,7.55,11.35,11.35,0,0.2,0.121,0.062,0.006,4,118,1.2,2,290,0.29,332,115
"Milk, condensed, sweetened",321,7.91,54.4,54.4,0,8.7,5.486,2.427,0.337,34,74,2.6,0.2,284,0.19,371,127
"Non-dairy milk, NFS",29,1.04,3.75,3.03,0.2,1.17,0.237,0.485,0.408,0,77,0,1,164,0.32,80,60
Soy milk,43,2.6,4.92,3.65,0.2,1.47,0.205,0.382,0.858,0,55,0,1.1,123,0.42,122,47
"Soy milk, light",30,2.38,3.51,2.61,0.3,0.77,0.005,0.202,0.426,0,61,0,1.2,123,0.43,117,48
"Soy milk, nonfat",28,2.47,4.14,3.65,0.2,0.04,0,0,0.036,0,61,0,1,116,0.35,105,57
"Soy milk, chocolate",63,2.26,9.95,7.86,0.4,1.53,0.24,0.379,0.836,0,70,1.7,1,126,0.48,143,53
"Soy milk, light, chocolate",47,2.1,8.24,7.13,0.7,0.64,0.032,0.037,0.405,0,61,0,1.2,123,0.59,144,46
"Soy milk, nonfat, chocolate",47,2.1,8.24,7.13,0.7,0.64,0.032,0.037,0.405,0,61,0,1.2,123,0.59,144,46
"Almond milk, sweetened",30,0.38,5.24,4.77,0.2,0.93,0.077,0.566,0.23,0,86,0,1,177,0.27,64,69
"Almond milk, sweetened, chocolate",41,0.43,8.34,7.72,0.3,0.95,0.098,0.561,0.224,0,83,0,0.9,171,0.3,67,67
"Almond milk, unsweetened",15,0.4,1.31,0.81,0.2,0.96,0.08,0.59,0.24,0,90,0,1,184,0.28,67,72
"Almond milk, unsweetened, chocolate",16,0.46,1.48,0.81,0.3,1,0.104,0.602,0.241,0,90,0,1,184,0.32,71,72
Rice milk,47,0.28,9.17,5.28,0.3,0.97,0,0.625,0.313,0,63,0,1,118,0.2,27,39
Coconut milk,31,0.21,2.92,2.5,0,2.08,2.083,0,0,0,63,0,1,188,0.3,19,19
"Yogurt, NFS",63,5.25,7.04,7.04,0,1.55,1,0.426,0.044,6,14,0.8,1.2,183,0.08,234,70
"Yogurt, Greek, NS as to type of milk or flavor",73,9.95,3.94,3.56,0,1.92,1.23,0.486,0.076,10,90,0.8,0,115,0.04,141,34
"Yogurt, NS as to type of milk or flavor",63,5.25,7.04,7.04,0,1.55,1,0.426,0.044,6,14,0.8,1.2,183,0.08,234,70
"Yogurt, NS as to type of milk, plain",63,5.25,7.04,7.04,0,1.55,1,0.426,0.044,6,14,0.8,1.2,183,0.08,234,70
"Yogurt, whole milk, plain",61,3.47,4.66,4.66,0,3.25,2.096,0.893,0.092,13,27,0.5,1.2,121,0.05,155,46
"Yogurt, low fat milk, plain",63,5.25,7.04,7.04,0,1.55,1,0.426,0.044,6,14,0.8,1.2,183,0.08,234,70
"Yogurt, nonfat milk, plain",56,5.73,7.68,7.68,0,0.18,0.116,0.049,0.005,2,2,0.9,1.2,199,0.09,255,77
"Yogurt, Greek, NS as to type of milk, plain",73,9.95,3.94,3.56,0,1.92,1.23,0.486,0.076,10,90,0.8,0,115,0.04,141,34
"Yogurt, Greek, whole milk, plain",97,9,3.98,4,0,5,2.395,2.136,0.469,13,2,0,0,100,0,141,35
